iter	RMSE
0	76.66909688
1	73.28712878
2	70.07241436
3	67.03945913
4	64.11319177
5	61.37880047
6	58.77834173
7	56.33127704
8	53.99608912
9	51.78857114
10	49.69256115
11	47.71477302
12	45.85393782
13	44.08797075
14	42.42082981
15	40.87198519
16	39.38601457
17	37.99552373
18	36.68822264
19	35.47978832
20	34.33373057
21	33.25895569
22	32.25560454
23	31.30778919
24	30.42414309
25	29.60295853
26	28.83012787
27	28.10327026
28	27.42231187
29	26.7939013
30	26.20278755
31	25.66063101
32	25.16260108
33	24.69846217
34	24.26318446
35	23.85661509
36	23.49217878
37	23.14863748
38	22.83242593
39	22.53753169
40	22.26136935
41	22.01014005
42	21.77758187
43	21.56158906
44	21.36366832
45	21.17803205
46	21.00373817
47	20.84896001
48	20.70177869
49	20.57023273
50	20.44248201
51	20.32558152
52	20.21981533
53	20.12086334
54	20.0255113
55	19.93657379
56	19.85026974
57	19.77399903
58	19.70224555
59	19.63648089
60	19.57243889
61	19.51379258
62	19.45827646
63	19.39937715
64	19.34903675
65	19.29987278
66	19.25300564
67	19.21330208
68	19.17140279
69	19.13073339
70	19.09532663
71	19.05888226
72	19.02563628
73	18.99577673
74	18.96880424
75	18.94089921
76	18.91321011
77	18.88568321
78	18.85989114
79	18.83521605
80	18.81223643
81	18.78538931
82	18.76562924
83	18.74063384
84	18.72100857
85	18.70313317
86	18.68311929
87	18.66724968
88	18.65227151
89	18.63173623
90	18.61150624
91	18.59791945
92	18.5819278
93	18.56348094
94	18.54795324
95	18.53524957
96	18.51681668
97	18.50484895
98	18.48963748
99	18.47315613
100	18.4599449
101	18.44978862
102	18.43899138
103	18.42511261
104	18.40905624
105	18.39779256
106	18.38808376
107	18.37548609
108	18.36162367
109	18.34796342
110	18.33535028
111	18.32219845
112	18.31020203
113	18.29693981
114	18.28819908
115	18.27630909
116	18.2621381
117	18.25114623
118	18.24209106
119	18.23329483
120	18.22417065
121	18.21404525
122	18.20360582
123	18.19114699
124	18.18133965
125	18.171522
126	18.1611001
127	18.15143738
128	18.14315432
129	18.13467179
130	18.12393793
131	18.113067
132	18.10542552
133	18.09550369
134	18.08790696
135	18.08024256
136	18.07004463
137	18.05780667
138	18.04966039
139	18.04426546
140	18.03609687
141	18.02752787
142	18.01853807
143	18.01193423
144	18.00348123
145	17.99637395
146	17.98852204
147	17.98032642
148	17.97309969
149	17.96372694
150	17.95750499
151	17.94759746
152	17.94216295
153	17.93249828
154	17.92366368
155	17.91536035
156	17.90816541
157	17.9004204
158	17.89459026
159	17.88749803
160	17.87693725
161	17.87071252
162	17.86350618
163	17.85625124
164	17.84922551
165	17.84140372
166	17.83541666
167	17.825972
168	17.82113492
169	17.81578057
170	17.8094763
171	17.80349823
172	17.79496579
173	17.78845015
