iter	Passed	Remaining
0	56	28293
1	113	28327
2	169	28053
3	221	27463
4	274	27196
5	328	27080
6	380	26772
7	433	26656
8	489	26679
9	541	26538
10	595	26456
11	648	26383
12	706	26481
13	765	26587
14	817	26440
15	876	26524
16	931	26470
17	988	26472
18	1045	26464
19	1097	26342
20	1148	26196
21	1201	26114
22	1253	25988
23	1302	25830
24	1354	25736
25	1414	25791
26	1476	25873
27	1538	25933
28	1591	25855
29	1647	25809
30	1700	25719
31	1753	25640
32	1804	25536
33	1854	25418
34	1901	25268
35	1951	25149
36	2013	25190
37	2071	25190
38	2127	25152
39	2180	25072
40	2235	25029
41	2288	24960
42	2337	24846
43	2391	24784
44	2448	24757
45	2502	24702
46	2556	24637
47	2601	24498
48	2648	24379
49	2700	24305
50	2754	24246
51	2805	24170
52	2858	24105
53	2920	24121
54	2971	24039
55	3024	23976
56	3072	23878
57	3127	23835
58	3177	23749
59	3232	23707
60	3286	23655
61	3340	23595
62	3390	23521
63	3446	23480
64	3499	23416
65	3559	23405
66	3603	23288
67	3666	23293
68	3731	23310
69	3789	23281
70	3835	23174
71	3891	23130
72	3946	23082
73	3998	23016
74	4054	22977
75	4101	22883
76	4155	22827
77	4208	22768
78	4264	22724
79	4321	22689
80	4369	22602
81	4414	22502
82	4470	22462
83	4528	22427
84	4577	22351
85	4640	22339
86	4698	22302
87	4755	22266
88	4805	22190
89	4857	22130
90	4911	22073
91	4960	21999
92	5016	21955
93	5067	21885
94	5124	21846
95	5171	21762
96	5225	21710
97	5274	21637
98	5331	21597
99	5380	21523
100	5433	21463
101	5484	21402
102	5534	21332
103	5587	21274
104	5632	21189
105	5697	21178
106	5737	21074
107	5787	21006
108	5840	20949
109	5893	20895
110	5963	20897
111	6016	20842
112	6082	20829
113	6124	20738
114	6179	20687
115	6232	20632
116	6288	20587
117	6357	20580
118	6435	20603
119	6506	20602
120	6549	20515
121	6595	20434
122	6640	20354
123	6689	20282
124	6747	20242
125	6801	20189
126	6856	20137
127	6901	20058
128	6949	19987
129	6999	19920
130	7060	19888
131	7104	19806
132	7169	19783
133	7238	19769
134	7284	19696
135	7342	19651
136	7389	19578
137	7452	19549
138	7504	19489
139	7551	19419
140	7617	19393
141	7669	19335
142	7712	19253
143	7771	19213
144	7818	19142
145	7864	19067
146	7916	19009
147	7965	18944
148	8038	18937
149	8091	18879
150	8142	18820
151	8216	18812
152	8289	18801
153	8365	18794
154	8415	18730
155	8475	18688
156	8529	18634
157	8583	18579
158	8633	18516
159	8673	18430
160	8716	18353
161	8754	18266
162	8797	18189
163	8857	18146
164	8920	18111
165	8987	18084
166	9053	18052
167	9106	17995
168	9153	17927
169	9219	17895
170	9255	17807
171	9320	17773
172	9366	17703
173	9421	17651
174	9472	17592
175	9514	17515
176	9579	17480
177	9632	17424
178	9689	17375
179	9746	17327
180	9797	17267
181	9845	17201
182	9898	17147
183	9941	17074
184	9988	17007
185	10032	16936
186	10087	16883
187	10130	16812
188	10193	16773
189	10239	16707
190	10297	16659
191	10347	16599
192	10409	16557
193	10471	16516
194	10532	16473
195	10586	16419
196	10640	16365
197	10684	16297
198	10746	16254
199	10798	16198
200	10850	16140
201	10901	16082
202	10971	16051
203	11032	16008
204	11084	15950
205	11152	15917
206	11209	15867
207	11270	15821
208	11331	15776
209	11383	15719
210	11433	15659
211	11500	15623
212	11554	15569
213	11621	15531
214	11666	15465
215	11714	15402
216	11761	15338
217	11806	15272
218	11870	15230
219	11910	15159
220	11963	15103
221	12022	15055
222	12092	15020
223	12159	14982
224	12221	14937
225	12283	14892
226	12348	14850
227	12390	14781
228	12449	14732
229	12500	14674
230	12559	14625
231	12627	14586
232	12692	14544
233	12761	14506
234	12820	14457
235	12880	14408
236	12924	14342
237	12979	14288
238	13036	14237
239	13091	14182
240	13137	14118
241	13197	14069
242	13238	14000
243	13298	13952
244	13363	13909
245	13418	13855
246	13459	13785
247	13502	13720
248	13552	13661
249	13601	13601
250	13648	13539
251	13689	13472
252	13759	13433
253	13814	13379
254	13872	13328
255	13931	13278
256	13979	13218
257	14042	13171
258	14109	13129
259	14176	13085
260	14223	13025
261	14279	12971
262	14317	12902
263	14362	12838
264	14407	12776
265	14471	12730
266	14525	12675
267	14578	12619
268	14637	12569
269	14693	12516
270	14738	12454
271	14786	12394
272	14838	12338
273	14891	12282
274	14954	12235
275	15008	12180
276	15054	12119
277	15115	12070
278	15176	12021
279	15239	11974
280	15287	11914
281	15334	11853
282	15393	11803
283	15446	11748
284	15511	11701
285	15567	11648
286	15616	11590
287	15684	11545
288	15751	11500
289	15789	11433
290	15838	11375
291	15890	11319
292	15932	11256
293	15987	11201
294	16030	11140
295	16081	11082
296	16134	11028
297	16185	10971
298	16244	10920
299	16301	10867
300	16358	10815
301	16431	10772
302	16480	10715
303	16533	10659
304	16581	10601
305	16628	10542
306	16672	10481
307	16733	10430
308	16784	10374
309	16833	10317
310	16904	10272
311	16960	10219
312	17020	10168
313	17076	10115
314	17125	10058
315	17180	10004
316	17312	9994
317	17362	9937
318	17406	9876
319	17452	9817
320	17525	9772
321	17587	9722
322	17652	9673
323	17722	9626
324	17790	9579
325	17842	9523
326	17887	9463
327	17933	9404
328	17992	9351
329	18037	9291
330	18084	9233
331	18138	9178
332	18201	9127
333	18247	9069
334	18294	9010
335	18370	8966
336	18444	8921
337	18499	8866
338	18546	8808
339	18600	8753
340	18656	8699
341	18701	8639
342	18763	8588
343	18809	8529
344	18927	8503
345	19051	8479
346	19169	8452
347	19235	8401
348	19348	8371
349	19454	8337
350	19572	8308
351	19661	8266
352	19783	8238
353	19954	8229
354	20144	8228
355	20269	8198
