feature,mean_importance_share,max_importance_share,models_present
PM2.5,0.5897402715597595,0.8680688222611156,3
PM10,0.05129300806809828,0.07812496964375491,3
PM2.5_lag1,0.028130823230168158,0.0586,3
DEWP,0.026553216364629238,0.063,3
PM10_lag1,0.023760799164776053,0.052333333333333336,3
WSPM,0.01971232351341689,0.037066666666666664,3
DEWP_lag3,0.015947680381863318,0.037733333333333334,3
No,0.012157206220398708,0.03373333333333333,3
CO,0.0117112668223974,0.0274,3
NO2,0.010958823480542742,0.0274,3
TEMP_lag12,0.009883047343258872,0.022466666666666666,3
DEWP_lag1,0.009876614609087541,0.025666666666666667,3
PM2.5_lag12,0.00962849099366154,0.0248,3
TEMP,0.009463538320106447,0.0244,3
hour_cos,0.00837048056600455,0.018733333333333334,3
DEWP_lag6,0.007521256580459831,0.019133333333333332,3
WSPM_lag1,0.007390175879258453,0.018,3
SO2,0.007378192940162715,0.018866666666666667,3
hour_sin,0.0071540525481865215,0.015666666666666666,3
PM2.5_roll3,0.006303123709509309,0.015733333333333332,3
PRES_lag12,0.006227221104445796,0.015,3
PM2.5_lag6,0.00614322768411824,0.0162,3
PM10_roll3,0.006103750183473898,0.014266666666666667,3
PM2.5_lag3,0.006066113502296415,0.0156,3
TEMP_lag1,0.0058719335509931,0.013866666666666666,3
TEMP_lag3,0.005837753117873025,0.0154,3
DEWP_lag12,0.005780735137380851,0.0152,3
TEMP_lag6,0.005530969678441318,0.014466666666666666,3
PRES,0.005515147695520359,0.014,3
O3,0.005173412618736939,0.013666666666666667,3
PM2.5_roll12,0.004970108874124619,0.0122,3
WSPM_lag12,0.0049532676179279535,0.0116,3
WSPM_lag3,0.004483355473255758,0.0112,3
month_sin,0.00418696389170994,0.0092,3
PM10_lag12,0.004186378148619265,0.010333333333333333,3
PRES_lag6,0.004120341580711448,0.010466666666666668,3
PM2.5_roll6,0.0035141695419549056,0.008066666666666666,3
PRES_lag1,0.003442302977561353,0.008533333333333334,3
PM10_lag6,0.003342283904372719,0.007733333333333333,3
PM10_lag3,0.003060982853950336,0.0074,3
dow_cos,0.002958353785648115,0.0058,3
WSPM_lag6,0.002921338149962298,0.0074,3
dow_sin,0.0028591606130436847,0.0058,3
PRES_lag3,0.002756377123278341,0.007,3
RAIN,0.0025221856405777104,0.0033838185792930474,3
PM10_roll6,0.0024844721689951783,0.005533333333333334,3
PM10_roll12,0.0024184507249461838,0.005333333333333333,3
month_cos,0.0023264334274091894,0.0051333333333333335,3
station_Gucheng,0.0008255673552879009,0.0013825849291430753,3
station_Shunyi,0.0008104303970779698,0.0012979578579005759,3
station_Nongzhanguan,0.000778670674399904,0.002269345356533045,3
station_Wanshouxigong,0.0007373680662605308,0.0019454375321149254,3
station_Tiantan,0.0007309096041067516,0.0019927288123202545,3
station_Changping,0.0006673984218041855,0.0010688619320792234,3
station_Huairou,0.0005640090042339827,0.001,3
station_Dingling,0.0005239008704082947,0.0012383692778915507,3
station_Dongsi,0.0004961562895392635,0.0010218022019511238,3
station_Wanliu,0.00047937543591677315,0.0008,3
station_Guanyuan,0.0004007576771176003,0.0007356063646861342,3
station_Aotizhongxin,0.00029387313677182964,0.000881619410315489,3
