model,feature,importance,importance_share
catboost,PM2.5,80.34853257514959,0.8034853257514963
catboost,PM10,7.812496964375487,0.07812496964375491
catboost,PM2.5_lag1,1.9557237987755,0.01955723798775501
catboost,WSPM,1.619639879041499,0.016196398790414998
catboost,PM10_lag1,1.476496986486178,0.01476496986486179
catboost,DEWP,1.4252593956423274,0.014252593956423282
catboost,DEWP_lag3,0.6915055285107587,0.006915055285107591
catboost,CO,0.4753923733410227,0.004753923733410229
catboost,TEMP_lag12,0.3915803893434282,0.003915803893434284
catboost,hour_sin,0.3237098016137433,0.003237098016137435
catboost,hour_cos,0.3085042048844102,0.0030850420488441038
catboost,NO2,0.2868249393366102,0.0028682493933661034
catboost,RAIN,0.2582738342440082,0.0025827383424400835
catboost,PM10_roll3,0.2249210475883315,0.0022492104758833164
catboost,PM2.5_lag12,0.1990409279071212,0.001990409279071213
catboost,month_sin,0.1616029944540753,0.001616029944540754
catboost,SO2,0.1560671897472009,0.00156067189747201
catboost,WSPM_lag1,0.1526160097414806,0.0015261600974148068
catboost,DEWP_lag1,0.1504807545782192,0.0015048075457821928
catboost,TEMP,0.1450996996179451,0.0014509969961794518
lightgbm,PM2.5,1465.0,0.09766666666666667
lightgbm,PM10,1003.0,0.06686666666666667
lightgbm,DEWP,945.0,0.063
lightgbm,PM2.5_lag1,879.0,0.0586
lightgbm,PM10_lag1,785.0,0.052333333333333336
lightgbm,DEWP_lag3,566.0,0.037733333333333334
lightgbm,WSPM,556.0,0.037066666666666664
lightgbm,No,506.0,0.03373333333333333
lightgbm,CO,411.0,0.0274
lightgbm,NO2,411.0,0.0274
lightgbm,DEWP_lag1,385.0,0.025666666666666667
lightgbm,PM2.5_lag12,372.0,0.0248
lightgbm,TEMP,366.0,0.0244
lightgbm,TEMP_lag12,337.0,0.022466666666666666
lightgbm,DEWP_lag6,287.0,0.019133333333333332
lightgbm,SO2,283.0,0.018866666666666667
lightgbm,hour_cos,281.0,0.018733333333333334
lightgbm,WSPM_lag1,270.0,0.018
lightgbm,PM2.5_lag6,243.0,0.0162
lightgbm,PM2.5_roll3,236.0,0.015733333333333332
xgboost,PM2.5,0.8680688142776489,0.8680688222611156
xgboost,PM10,0.0088873878121376,0.008887387893873246
xgboost,PM2.5_lag1,0.0062352316454052,0.00623523170274946
xgboost,WSPM,0.0058739050291478,0.005873905083169007
xgboost,PM10_lag1,0.0041840942576527,0.004184094296133033
xgboost,TEMP_lag1,0.0034559040796011,0.0034559041113844044
xgboost,RAIN,0.0033838185481727,0.0033838185792930474
xgboost,hour_cos,0.0032930662855505,0.003293066315836215
xgboost,TEMP_lag12,0.0032666714396327,0.003266671469675667
xgboost,DEWP_lag3,0.0031946524977684,0.003194652527149022
xgboost,CO,0.0029798767063766,0.002979876733781969
xgboost,dow_cos,0.0028963808435946,0.0028963808702320735
xgboost,dow_sin,0.0027109424117952,0.002710942436727231
xgboost,WSPM_lag1,0.0026443675160408,0.002644367540360554
xgboost,NO2,0.0026082210242748,0.0026082210482621217
xgboost,WSPM_lag12,0.0025941845960915,0.002594184619949731
xgboost,hour_sin,0.0025583929382264,0.0025583929617554618
xgboost,TEMP,0.0025396179407835,0.0025396179641398917
xgboost,DEWP_lag6,0.0024599651806056,0.0024599652032294404
xgboost,DEWP_lag1,0.0024583695922046,0.002458369614813766
