station,mean_PM2.5,mean_PM10,mean_SO2,mean_NO2,mean_CO,mean_O3,mean_TEMP,mean_PRES,mean_DEWP,mean_RAIN,mean_WSPM,rows,missing_rows
Aotizhongxin,82.77361082632765,110.06039131194318,17.375901409358608,59.30583318645163,1262.9451453977408,56.353358410556304,13.584607417568481,1011.8469198246015,3.1230624357950005,0.06742095651181372,1.7084964336661912,35064,3188
Changping,71.09974336541266,94.65787077315701,14.958905587176211,44.182085507457046,1152.3013445428255,57.94000261752756,13.68611128792629,1007.7602777936445,1.505495415726486,0.060366149715819835,1.8538362696667712,35064,2290
Dingling,65.989496864518,83.7397233201581,11.74964965340479,27.585466754360038,904.8960728548954,68.54837092466765,13.686111287865991,1007.7602777936445,1.505495415726486,0.060366149715819835,1.8538362696667712,35064,3665
Dongsi,86.19429678848283,110.33674190837704,18.531106607366066,53.69944280249828,1330.0691310760349,57.21063690116279,13.67148962279619,1012.5474191968287,2.447534528021915,0.06401951831982651,1.8607845934379459,35064,4662
Guanyuan,82.93337203901532,109.02330301717916,17.59094149754264,57.901642517076006,1271.294377232746,55.79504428314302,13.584607417568476,1011.8469198246108,3.1230624357950005,0.06742095651181372,1.7084964336661912,35064,2736
Gucheng,83.85208902318554,118.86197849090333,15.366161622826057,55.87107495348296,1323.9744229569558,57.694878835008005,13.86452447802841,1008.8295917481483,2.6104418358895267,0.0644527569172782,1.3433099194791847,35064,2449
Huairou,69.62636686112984,91.48269023244961,12.12155301021007,32.49725021391174,1022.5545449140955,59.824712953734554,12.445425591356317,1007.5985678310627,2.2386192910799463,0.06793967265560284,1.6520205626160218,35064,3109
Nongzhanguan,84.83848298292484,108.99109577171905,18.689242012825698,58.09717238740836,1324.3501978852855,58.53468229064182,13.671489622796194,1012.5474191968192,2.447534528021915,0.06401951831982651,1.8607845934379459,35064,1888
Shunyi,79.49160200286961,98.7370263066404,13.572038687514807,43.90886473782605,1187.0639785927142,55.20132076247208,13.387969092205662,1013.0619382209263,2.465035704084547,0.061094450632622165,1.8075328383780698,35064,4477
Tiantan,82.16491115828656,106.36367249833174,14.367615106345372,53.162645574009325,1298.303317814839,55.984296589813276,13.67148962279619,1012.5474191968287,2.447534528021915,0.06401951831982651,1.8607845934379459,35064,2157
Wanliu,83.37471599100398,110.46461759631973,18.376480570616717,65.25878926575278,1319.3535125706724,48.87361389082744,13.428865112656561,1011.0975357170033,3.2665877182969982,0.06826275539321995,1.5012154065620542,35064,4327
Wanshouxigong,85.02413582402235,112.22345864661655,17.148603110917286,55.529560136986305,1370.3950306512274,56.22990353675043,13.784476596983012,1011.5118036334333,2.7074418604651163,0.06432015979454986,1.7453139710707255,35064,2235
