horizon_hours,feature,importance
1,PM2.5,0.8680688142776489
1,PM10,0.008887387812137604
1,PM2.5_lag1,0.0062352316454052925
1,WSPM,0.005873905029147863
1,PM10_lag1,0.0041840942576527596
1,TEMP_lag1,0.0034559040796011686
1,RAIN,0.0033838185481727123
1,hour_cos,0.0032930662855505943
1,TEMP_lag12,0.0032666714396327734
1,DEWP_lag3,0.003194652497768402
1,CO,0.002979876706376672
1,dow_cos,0.0028963808435946703
1,dow_sin,0.0027109424117952585
1,WSPM_lag1,0.002644367516040802
1,NO2,0.002608221024274826
1,WSPM_lag12,0.002594184596091509
1,hour_sin,0.0025583929382264614
1,TEMP,0.0025396179407835007
1,DEWP_lag6,0.00245996518060565
1,DEWP_lag1,0.00245836959220469
1,PRES_lag12,0.0024309325963258743
1,DEWP,0.002407055115327239
1,station_Nongzhanguan,0.002269345335662365
1,PRES,0.0021573167759925127
1,PM2.5_lag12,0.0020950636826455593
1,PM2.5_roll3,0.002070800168439746
1,PM10_lag6,0.0020535748917609453
1,PM10_lag12,0.0020461687818169594
1,station_Tiantan,0.0019927287939935923
1,WSPM_lag3,0.001982347806915641
1,station_Wanshouxigong,0.0019454375142231584
1,PM10_roll3,0.0017953733913600445
1,PM2.5_roll12,0.0017825497779995203
1,DEWP_lag12,0.0017614236567169428
1,month_sin,0.001744861714541912
1,PRES_lag6,0.0017257208237424493
1,month_cos,0.001717957784421742
1,SO2,0.0017072402406483889
1,PM10_roll12,0.001632361439988017
1,PRES_lag1,0.0016187720466405153
1,TEMP_lag6,0.0016079565975815058
1,PM2.5_lag3,0.0016057475004345179
1,PM2.5_lag6,0.0016037535388022661
1,TEMP_lag3,0.0015654877061024308
1,No,0.001516431220807135
1,PM10_roll6,0.0015136931324377656
1,PM2.5_roll6,0.001508812652900815
1,PM10_lag3,0.0014755489537492394
1,station_Gucheng,0.0013825849164277315
1,station_Shunyi,0.0012979578459635377
1,station_Dingling,0.0012383692665025592
1,PRES_lag3,0.0012250231811776757
1,O3,0.0011364767560735345
1,WSPM_lag6,0.00109162088483572
1,station_Changping,0.001068861922249198
1,station_Dongsi,0.0010218021925538778
1,station_Aotizhongxin,0.0008816194022074342
1,station_Guanyuan,0.0007356063579209149
1,station_Huairou,0.0006798927206546068
1,station_Wanliu,0.0006118470919318497
3,PM2.5,0.678962767124176
3,WSPM,0.017072204500436783
3,PM10,0.015356151387095451
3,TEMP_lag12,0.012974667362868786
3,RAIN,0.01033012755215168
3,hour_cos,0.01000028382986784
3,hour_sin,0.009109447710216045
3,dow_cos,0.009010804817080498
3,PRES_lag12,0.008860723115503788
3,TEMP,0.008507899008691311
3,PM2.5_lag1,0.007696418557316065
3,DEWP,0.00723269721493125
3,NO2,0.007031273562461138
3,TEMP_lag3,0.006775091402232647
3,DEWP_lag3,0.006769759580492973
3,PM10_lag1,0.006671351846307516
3,PM2.5_lag12,0.0062889656983315945
3,month_sin,0.0061715589836239815
3,DEWP_lag1,0.0060976240783929825
3,PRES,0.006046818569302559
3,DEWP_lag6,0.005991863552480936
3,station_Changping,0.005700032226741314
3,PRES_lag1,0.005676659289747477
3,TEMP_lag1,0.005232709925621748
3,PM10_lag6,0.005209021270275116
3,PM2.5_roll12,0.005208971910178661
3,DEWP_lag12,0.005155483260750771
3,WSPM_lag12,0.005056541413068771
3,TEMP_lag6,0.004929749295115471
3,No,0.0047321743331849575
3,PRES_lag3,0.004695291630923748
3,PM2.5_lag3,0.004630854353308678
3,WSPM_lag1,0.0044355508871376514
3,SO2,0.004386124201118946
3,PRES_lag6,0.004349089227616787
3,PM10_lag12,0.004326196853071451
3,dow_sin,0.00431665126234293
3,PM2.5_lag6,0.0042969221249222755
3,station_Gucheng,0.0041010999120771885
3,station_Dingling,0.003988342359662056
3,PM10_roll3,0.003965417388826609
3,CO,0.003947454504668713
3,WSPM_lag3,0.003946744836866856
3,PM2.5_roll3,0.0038654848467558622
3,PM10_roll12,0.0038569006137549877
3,PM2.5_roll6,0.0035655959509313107
3,month_cos,0.003510969690978527
3,PM10_lag3,0.0034729314502328634
3,WSPM_lag6,0.003470218973234296
3,PM10_roll6,0.003427760675549507
3,station_Nongzhanguan,0.0030236891470849514
3,station_Shunyi,0.0030063616577535868
3,O3,0.0027924852911382914
3,station_Huairou,0.0022717744577676058
3,station_Wanliu,0.0020280424505472183
3,station_Tiantan,0.001592503278516233
3,station_Aotizhongxin,0.00157837918959558
3,station_Dongsi,0.0015246175462380052
